state,driver_race,pre_legalization,date_start,date_end,search_rate_start,search_rate_end
AZ,white,TRUE,2011-01-01,2012-12-08,0.04548356364673817,0.02770644824101487
AZ,black,TRUE,2011-01-01,2012-12-08,0.09201518317994023,0.06878373677279948
AZ,hispanic,TRUE,2011-01-01,2012-12-08,0.1235915454817369,0.058119150165067746
AZ,white,FALSE,2012-12-09,2015-11-30,0.034045679371719074,0.03203110485659576
AZ,black,FALSE,2012-12-09,2015-11-30,0.07757738928192949,0.07429663163939042
AZ,hispanic,FALSE,2012-12-09,2015-11-30,0.07459927031661591,0.06935402758261673
CA,white,TRUE,2011-01-01,2012-12-08,0.001114845598244972,0.0012701078842178456
CA,black,TRUE,2011-01-01,2012-12-08,0.002014628227981528,0.002456155207625612
CA,hispanic,TRUE,2011-01-01,2012-12-08,0.0014831431514110063,0.0016922271675133948
CA,white,FALSE,2012-12-09,2015-12-31,0.001317413286559883,0.0013503261369923803
CA,black,FALSE,2012-12-09,2015-12-31,0.0024500000097778876,0.0019651798361616383
CA,hispanic,FALSE,2012-12-09,2015-12-31,0.0018744597820114942,0.0017915967134500726
CO,white,TRUE,2011-01-01,2012-12-09,0.004368179199994181,0.0035680866890032345
CO,black,TRUE,2011-01-01,2012-12-09,0.011669642195113426,0.009246247116884161
CO,hispanic,TRUE,2011-01-01,2012-12-09,0.00934993554367752,0.007887337929138392
CO,white,FALSE,2012-12-10,2015-12-31,0.0017787363161891143,0.0012459119582594515
CO,black,FALSE,2012-12-10,2015-12-31,0.006005622072521075,0.00345967028041598
CO,hispanic,FALSE,2012-12-10,2015-12-31,0.004577030646577201,0.0037470371840133097
FL,white,TRUE,2011-01-01,2012-12-08,0.003628193494196224,0.002696856211675029
FL,black,TRUE,2011-01-01,2012-12-08,0.009128163489490623,0.0067414318123066586
FL,hispanic,TRUE,2011-01-01,2012-12-08,0.004373678161868736,0.003627985094781988
FL,white,FALSE,2012-12-09,2015-12-31,0.0028467461510315517,0.0024436671235648633
FL,black,FALSE,2012-12-09,2015-12-31,0.006827415719276472,0.007924606753074959
FL,hispanic,FALSE,2012-12-09,2015-12-31,0.003378363007260518,0.003840333500413688
MA,white,TRUE,2011-01-01,2012-12-08,0.008301292552974873,0.007844414085936172
MA,black,TRUE,2011-01-01,2012-12-08,0.018479283068024696,0.014593392096585944
MA,hispanic,TRUE,2011-01-01,2012-12-08,0.020013411346987774,0.019252771335003756
MA,white,FALSE,2012-12-09,2015-12-31,0.008612756574516156,0.003092892817984305
MA,black,FALSE,2012-12-09,2015-12-31,0.015566774293916785,0.005487643633321271
MA,hispanic,FALSE,2012-12-09,2015-12-31,0.018076344637386582,0.011677822663678006
MT,white,TRUE,2011-01-01,2012-12-08,0.0016186576245827548,0.0015003122282234906
MT,black,TRUE,2011-01-01,2012-12-08,0.011144268300861335,0.007761012319323232
MT,hispanic,TRUE,2011-01-01,2012-12-08,0.01665758507149795,0.001553451519728577
MT,white,FALSE,2012-12-09,2015-12-31,0.0016004592260373818,0.003833372216666485
MT,black,FALSE,2012-12-09,2015-12-31,0.011832688407422437,0.015285865500897756
MT,hispanic,FALSE,2012-12-09,2015-12-31,0.0073030084979763404,0.013362135439675349
NC,white,TRUE,2011-01-01,2012-12-08,0.0015378632373030787,0.002099643942494461
NC,black,TRUE,2011-01-01,2012-12-08,0.0022419922716102976,0.002270120017641279
NC,hispanic,TRUE,2011-01-01,2012-12-08,0.004373185140649603,0.004812781889557227
NC,white,FALSE,2012-12-09,2015-12-31,0.0026736229641994257,0.0022168828184263977
NC,black,FALSE,2012-12-09,2015-12-31,0.0037353867201774847,0.003989676460902321
NC,hispanic,FALSE,2012-12-09,2015-12-31,0.00607888179162205,0.00418488397663791
OH,white,TRUE,2011-01-01,2012-12-08,0.02535136524303759,0.02510874689489629
OH,black,TRUE,2011-01-01,2012-12-08,0.055002772573397384,0.0593151113063602
OH,hispanic,TRUE,2011-01-01,2012-12-08,0.07339245802031608,0.05981499777634802
OH,white,FALSE,2012-12-09,2015-12-31,0.02722010698922026,0.03032719472977771
OH,black,FALSE,2012-12-09,2015-12-31,0.06964224078872706,0.08104799564646596
OH,hispanic,FALSE,2012-12-09,2015-12-31,0.06630052754339844,0.07105897319684407
RI,white,TRUE,2011-01-01,2012-12-08,0.019142090708149845,0.01077133369943295
RI,black,TRUE,2011-01-01,2012-12-08,0.033224267653905654,0.025236976511294834
RI,hispanic,TRUE,2011-01-01,2012-12-08,0.030731742928672368,0.017144202094009242
RI,white,FALSE,2012-12-09,2015-12-31,0.014820068066521391,0.012482330493861278
RI,black,FALSE,2012-12-09,2015-12-31,0.03999516066342959,0.022565963622771912
RI,hispanic,FALSE,2012-12-09,2015-12-31,0.029836143446183915,0.028626154002283216
SC,white,TRUE,2011-01-01,2012-12-08,0.023657115357422338,0.022952344622852727
SC,black,TRUE,2011-01-01,2012-12-08,0.030981746473256584,0.029802438511062485
SC,hispanic,TRUE,2011-01-01,2012-12-08,0.08553501046000583,0.06597003009905361
SC,white,FALSE,2012-12-09,2015-12-31,0.023192617996344072,0.024976096863912813
SC,black,FALSE,2012-12-09,2015-12-31,0.030957448842428965,0.03395850283758653
SC,hispanic,FALSE,2012-12-09,2015-12-31,0.06505214176230356,0.055804876950598825
TX,white,TRUE,2011-01-01,2012-12-08,0.012472523158792007,0.010179533090139622
TX,black,TRUE,2011-01-01,2012-12-08,0.03374089888668222,0.02614787105800645
TX,hispanic,TRUE,2011-01-01,2012-12-08,0.02272573207729975,0.015725654485530205
TX,white,FALSE,2012-12-09,2015-12-31,0.010025841483204852,0.008359687278902964
TX,black,FALSE,2012-12-09,2015-12-31,0.02410235146657888,0.01913259458114805
TX,hispanic,FALSE,2012-12-09,2015-12-31,0.015472503310860974,0.012896806364725781
VT,white,TRUE,2011-01-01,2012-12-08,0.008459704656359437,0.00832932375906732
VT,black,TRUE,2011-01-01,2012-12-08,0.030377292683823644,0.028439361407544342
VT,hispanic,TRUE,2011-01-01,2012-12-08,0.03791305669927264,0.0434759786657124
VT,white,FALSE,2012-12-09,2015-12-31,0.01103609551536292,0.01027169217938236
VT,black,FALSE,2012-12-09,2015-12-31,0.05209583528067047,0.0518526091483238
VT,hispanic,FALSE,2012-12-09,2015-12-31,0.050190395026995904,0.031253614275176034
WA,white,TRUE,2011-01-01,2012-12-08,0.00224029241091023,0.002423711885629137
WA,black,TRUE,2011-01-01,2012-12-08,0.004813981564764886,0.0037733527328500903
WA,hispanic,TRUE,2011-01-01,2012-12-08,0.0033504656973268668,0.004635326272591337
WA,white,FALSE,2012-12-09,2015-12-31,9.748611846921284e-4,5.900153918550356e-4
WA,black,FALSE,2012-12-09,2015-12-31,0.0014954035398239938,0.0010417584647666196
WA,hispanic,FALSE,2012-12-09,2015-12-31,0.002185092117346084,8.725320575525934e-4
WI,white,TRUE,2011-01-01,2012-12-08,0.009185669140532302,0.007985060058241608
WI,black,TRUE,2011-01-01,2012-12-08,0.037181313536635285,0.02694277856043928
WI,hispanic,TRUE,2011-01-01,2012-12-08,0.01849362411454622,0.013698973732645864
WI,white,FALSE,2012-12-09,2014-11-30,0.007879924979256672,0.006706494374628145
WI,black,FALSE,2012-12-09,2014-11-30,0.036982397351870575,0.03712008660997466
WI,hispanic,FALSE,2012-12-09,2014-11-30,0.015952293956019443,0.019029903338552527
